locuteur,ind,proba_nasal,tDebut,tFin,duree,filename
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.33033251762390137,0,0.05,0.05,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-1_0_0.05_0.05.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.05529671907424927,0.01,0.060000000000000005,0.05,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-2_0.01_0.060000000000000005_0.05.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.003878355026245117,0.02,0.07,0.05,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-3_0.02_0.07_0.05.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.009822547435760498,0.03,0.08,0.05,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-4_0.03_0.08_0.05.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.17267346382141113,0.04,0.09,0.049999999999999996,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-5_0.04_0.09_0.049999999999999996.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.019217848777770996,0.05,0.09999999999999999,0.04999999999999999,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-6_0.05_0.09999999999999999_0.04999999999999999.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.9921210650354624,0.060000000000000005,0.10999999999999999,0.04999999999999998,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-7_0.060000000000000005_0.10999999999999999_0.04999999999999998.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.6089855134487152,0.07,0.11999999999999998,0.049999999999999975,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-8_0.07_0.11999999999999998_0.049999999999999975.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.9548880234360695,0.08,0.12999999999999998,0.049999999999999975,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-9_0.08_0.12999999999999998_0.049999999999999975.wav
PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3,13,0.052211880683898926,0.09,0.13999999999999999,0.04999999999999999,PTSVOX_SJ061_F_session1_mic_S_1-13_196.3_200.3-10_0.09_0.13999999999999999_0.04999999999999999.wav
