locuteur,ind,proba_nasal,tDebut,tFin,duree,filename
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.9980926954885945,0,0.05,0.05,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-1_0_0.05_0.05.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.996867053443566,0.01,0.060000000000000005,0.05,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-2_0.01_0.060000000000000005_0.05.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.9991643458488397,0.02,0.07,0.05,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-3_0.02_0.07_0.05.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.9999869905768719,0.03,0.08,0.05,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-4_0.03_0.08_0.05.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.005289196968078613,0.04,0.09,0.049999999999999996,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-5_0.04_0.09_0.049999999999999996.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.6371632516384125,0.05,0.09999999999999999,0.04999999999999999,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-6_0.05_0.09999999999999999_0.04999999999999999.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.048272788524627686,0.060000000000000005,0.10999999999999999,0.04999999999999998,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-7_0.060000000000000005_0.10999999999999999_0.04999999999999998.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.14700472354888916,0.07,0.11999999999999998,0.049999999999999975,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-8_0.07_0.11999999999999998_0.049999999999999975.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.7178090214729309,0.08,0.12999999999999998,0.049999999999999975,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-9_0.08_0.12999999999999998_0.049999999999999975.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.12330842018127441,0.09,0.13999999999999999,0.04999999999999999,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-10_0.09_0.13999999999999999_0.04999999999999999.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,1.722574234008789e-05,0.09999999999999999,0.15,0.05,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-11_0.09999999999999999_0.15_0.05.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,1.0132789611816406e-06,0.10999999999999999,0.16,0.05000000000000002,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-12_0.10999999999999999_0.16_0.05000000000000002.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,2.187490463256836e-05,0.11999999999999998,0.17,0.05000000000000003,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-13_0.11999999999999998_0.17_0.05000000000000003.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,2.0265579223632812e-05,0.12999999999999998,0.18000000000000002,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-14_0.12999999999999998_0.18000000000000002_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.006330966949462891,0.13999999999999999,0.19000000000000003,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-15_0.13999999999999999_0.19000000000000003_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.0007037520408630371,0.15,0.20000000000000004,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-16_0.15_0.20000000000000004_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,4.267692565917969e-05,0.16,0.21000000000000005,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-17_0.16_0.21000000000000005_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,6.288290023803711e-05,0.17,0.22000000000000006,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-18_0.17_0.22000000000000006_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,1.7881393432617188e-07,0.18000000000000002,0.23000000000000007,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-19_0.18000000000000002_0.23000000000000007_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,1.1920928955078125e-07,0.19000000000000003,0.24000000000000007,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-20_0.19000000000000003_0.24000000000000007_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,3.6716461181640625e-05,0.20000000000000004,0.25000000000000006,0.05000000000000002,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-21_0.20000000000000004_0.25000000000000006_0.05000000000000002.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.008479535579681396,0.21000000000000005,0.26000000000000006,0.05000000000000002,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-22_0.21000000000000005_0.26000000000000006_0.05000000000000002.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.00013756752014160156,0.22000000000000006,0.2700000000000001,0.05000000000000002,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-23_0.22000000000000006_0.2700000000000001_0.05000000000000002.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.14692288637161255,0.23000000000000007,0.2800000000000001,0.05000000000000002,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-24_0.23000000000000007_0.2800000000000001_0.05000000000000002.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.0015016794204711914,0.24000000000000007,0.2900000000000001,0.05000000000000002,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-25_0.24000000000000007_0.2900000000000001_0.05000000000000002.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.0007217526435852051,0.25000000000000006,0.3000000000000001,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-26_0.25000000000000006_0.3000000000000001_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,0.0027194619178771973,0.26000000000000006,0.3100000000000001,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-27_0.26000000000000006_0.3100000000000001_0.050000000000000044.wav
PTSVOX_LG001_F_session3_mic_L_1-1_43_47,1,5.036592483520508e-05,0.2700000000000001,0.3200000000000001,0.050000000000000044,PTSVOX_LG001_F_session3_mic_L_1-1_43_47-28_0.2700000000000001_0.3200000000000001_0.050000000000000044.wav
