locuteur,ind,proba_nasal,tDebut,tFin,duree,filename
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.00047719478607177734,0,0.05,0.05,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-1_0_0.05_0.05.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.0016303658485412598,0.01,0.060000000000000005,0.05,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-2_0.01_0.060000000000000005_0.05.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.021920323371887207,0.02,0.07,0.05,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-3_0.02_0.07_0.05.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.9067948833107948,0.03,0.08,0.05,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-4_0.03_0.08_0.05.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.9650954529643059,0.04,0.09,0.049999999999999996,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-5_0.04_0.09_0.049999999999999996.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.98519432451576,0.05,0.09999999999999999,0.04999999999999999,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-6_0.05_0.09999999999999999_0.04999999999999999.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.9970550064463168,0.060000000000000005,0.10999999999999999,0.04999999999999998,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-7_0.060000000000000005_0.10999999999999999_0.04999999999999998.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.9114717319607735,0.07,0.11999999999999998,0.049999999999999975,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-8_0.07_0.11999999999999998_0.049999999999999975.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.8927992433309555,0.08,0.12999999999999998,0.049999999999999975,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-9_0.08_0.12999999999999998_0.049999999999999975.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.00960838794708252,0.09,0.13999999999999999,0.04999999999999999,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-10_0.09_0.13999999999999999_0.04999999999999999.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,2.86102294921875e-06,0.09999999999999999,0.15,0.05,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-11_0.09999999999999999_0.15_0.05.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.0,0.10999999999999999,0.16,0.05000000000000002,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-12_0.10999999999999999_0.16_0.05000000000000002.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,5.960464477539063e-08,0.11999999999999998,0.17,0.05000000000000003,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-13_0.11999999999999998_0.17_0.05000000000000003.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,3.5762786865234375e-07,0.12999999999999998,0.18000000000000002,0.050000000000000044,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-14_0.12999999999999998_0.18000000000000002_0.050000000000000044.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,4.231929779052734e-06,0.13999999999999999,0.19000000000000003,0.050000000000000044,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-15_0.13999999999999999_0.19000000000000003_0.050000000000000044.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,4.76837158203125e-07,0.15,0.20000000000000004,0.050000000000000044,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-16_0.15_0.20000000000000004_0.050000000000000044.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,4.6253204345703125e-05,0.16,0.21000000000000005,0.050000000000000044,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-17_0.16_0.21000000000000005_0.050000000000000044.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,9.5367431640625e-07,0.17,0.22000000000000006,0.050000000000000044,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-18_0.17_0.22000000000000006_0.050000000000000044.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.0,0.18000000000000002,0.23000000000000007,0.050000000000000044,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-19_0.18000000000000002_0.23000000000000007_0.050000000000000044.wav
PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9,16,0.0195656418800354,0.19000000000000003,0.24000000000000007,0.050000000000000044,PTSVOX_SJ062_F_session1_mic_S_1-16_296.9_300.9-20_0.19000000000000003_0.24000000000000007_0.050000000000000044.wav
